      char       line    episode title
       977         46       13.1 援交 (1) 裸體模特兒 patch 2019.02.24
      2690        131       13.2 女裸模 (1) 舞台
       331         14       13.3 女裸模 (2) 回想
       506         29       13.4 援交 (2) 約定
      2470        138       13.5 援交 (3) 赴約
       571         23       13.6 那個工作
      1280         70       13.7 訓練 (1) 少女調教
       213         10       13.8 日記
      1255         73       13.9 援交 (4) 性虐待
      1526         93      13.10 援交 (5) 自慰
      2584        175      13.11 援交 (6) 肛交 patch 2019.05.20
       748         39      13.12 援交 (7) 性癖覺醒
       617         45      13.13 老師 (1) 真相
       380         22      13.14 老師 (2) 閒聊
      1835        112      13.15 老師 (3) 保健室
      1015         57      13.16 老師 (4) 調教
      1532         83      13.17 訓練 (2) 籠中少女
      2373        153      13.18 性虐待 (1) 拘束
       564         28      13.19 性虐待 (2) 裸照
      1762        111      13.20 女裸模 (3) 輪姦
      2612        164      13.21 受難 (1) 車站間
       687         31      13.22 受難 (2) 丟棄
       993         66      13.23 受難 (3) 救援
      1879        135      13.24 受難 (4) 獻身
       835         53      13.25 無法回頭
      1619        100      13.26 性虐待 (3) 繩縛
      2213        131      13.27 性虐待 (4) 文字羞辱
      1270         64      13.28 性虐待 (5) 內心變化
      1634         98      13.29 痴漢 (1) 襲擊 patch 2020.09.06
      1300         73      13.30 痴漢 (2) 援交
      1739         90      13.31 痴漢 (3) 角色扮演
       927         44      13.32 復習 (1) 欣賞
      1643         85      13.33 拘束 (1) 繩縛
       945         49      13.34 拘束 (2) 公開放尿
      1773         82      13.35 拘束 (3) 凌虐
      1845        101      13.36 拘束 (4) 選擇
      1380         72      13.37 特質
      1762         98      13.38 拘束 (5) 折磨
      2008        102      13.39 復習 (2) 實況
      2751        151      13.40 學弟 (1) 告白 patch 2019.02.22
      2207        113      13.41 學弟 (2) 性愛照片
      3517        174      13.42 新登場人物 (1) 小奈 patch 2022.10.27
      3982        208      13.43 新登場人物 (2) 小梨和小紗 patch 2022.10.27
      2353        127      13.44 新登場人物 (3) 小茉 patch 2022.10.27
      3053        124      13.45 新登場人物 (4) 小愛 patch 2022.10.27
      3664        192      13.46 新登場人物 (5) 小鈴 patch 2022.10.26
      4961        225      13.47 新登場人物 (6) 小蓓 patch 2022.10.26
      9176        436      13.48 新登場人物 (7) 小璘 patch 2022.10.26
      8825        409      13.49 新登場人物 (8) 小璃 patch 2022.10.26
     10634        379      13.50 新登場人物 (9) 小綾 patch 2022.10.25
     11752        441      13.51 新登場人物 (10) 小纋 patch 2022.10.25
     15610        520      13.52 新登場人物 (11) 小蕾 patch 2023.03.29
     13368        510      13.53 新登場人物 (12) 小千 patch 2023.03.29
    148762       7047         13 total
      2190        112       15.1 裸體 (1) 公園 patch 2019.02.24
       737         37       15.2 裸體 (2) 欣賞
       320         12       15.3 跟蹤的女孩
      1431         79       15.4 裸體 (3) 侵犯
      2211        124       15.5 主人 (1) 雙胞胎
       939         57       15.6 主人 (2) 拘束
      1258         77       15.7 主人 (3) 灌腸
      1872        114       15.8 主人 (4) 影片
      2357        116       15.9 威脅
       528         27      15.10 露營 (1) 外拍
      1300         83      15.11 露營 (2) 自慰
       551         34      15.12 露營 (3) 凌虐
       674         50      15.13 露營 (4) 羞辱
      1733        110      15.14 露營 (5) 調教
      1149         71      15.15 誘餌 (1) 設計
       761         39      15.16 誘餌 (2) 不知情
      2226        140      15.17 誘餌 (3) 侵犯
      1501         88      15.18 工廠 (1) 折磨
       694         43      15.19 工廠 (2) 昏迷
       496         24      15.20 工廠 (3) 恥辱的打扮
       645         37      15.21 工廠 (4) 散步
      1703         91      15.22 溫泉 (1) 求饒
      2412        125      15.23 溫泉 (2) 侍奉
      1168         66      15.24 溫泉 (3) 永無止盡
      2491        139      15.25 自白 (1) 空瓶
      4620        219      15.26 自白 (2) SM雜誌
      2518        141      15.27 自白 (3) 寢台列車
      2909        129      15.28 背叛
      4653        225      15.29 迷惘 patch 2019.02.21-1
      3117        151      15.30 援交
      5489        261      15.31 小奈和女高中生
      2298        101      15.32 小晴的外拍 patch 2020.04.25
      2202        125      15.33 公園的意外 patch 2019.08.25
      3183        167      15.34 小娜的購物 patch 2022.11.14
      3309        174      15.35 游泳池
      3647        210      15.36 新娘婚紗
      2862        168      15.37 小雪的打工
      3048        160      15.38 暗巷的性侵 patch 2022.11.14
      4202        205      15.39 車站前廣場的挑戰 patch 2022.11.14
      6071        301      15.40 監禁
      3006        162      15.41 美術教室 (1) 人體素描
      3390        187      15.42 美術教室 (2) SM攝影
      3274        184      15.43 美術教室 (3) 人體彩繪
      2565        128      15.44 小雪的回憶
      3182        171      15.45 父女的偶遇
      4804        222      15.46 交換的試鏡
